date,pair,value
2025-07-30,USDJPY,149.50000
2025-07-31,USDJPY,150.74000
2025-08-01,USDJPY,147.36000
2025-08-04,USDJPY,147.08000
2025-08-05,USDJPY,147.60000
2025-08-06,USDJPY,147.35000
2025-08-07,USDJPY,147.10000
2025-08-08,USDJPY,147.72000
2025-08-11,USDJPY,148.14000
2025-08-12,USDJPY,147.83000
2025-08-13,USDJPY,147.38000
2025-08-14,USDJPY,147.76000
2025-08-15,USDJPY,147.18000
2025-08-18,USDJPY,147.86000
2025-08-19,USDJPY,147.66000
2025-08-20,USDJPY,147.32000
2025-08-21,USDJPY,148.37000
2025-08-22,USDJPY,146.93000
2025-08-25,USDJPY,147.77000
2025-08-26,USDJPY,147.40000
2025-08-27,USDJPY,147.39000
2025-08-28,USDJPY,146.92000
2025-08-29,USDJPY,147.02000
2025-09-01,USDJPY,147.17000
2025-09-02,USDJPY,148.33000
2025-09-03,USDJPY,148.08000
2025-09-04,USDJPY,148.48000
2025-09-05,USDJPY,147.38000
2025-09-08,USDJPY,147.51000
2025-09-09,USDJPY,147.41000
2025-09-10,USDJPY,147.46000
2025-09-11,USDJPY,147.20000
2025-09-12,USDJPY,147.66000
2025-09-15,USDJPY,147.40000
2025-04-30,EURUSD,1.13253
2025-05-01,EURUSD,1.12857
2025-05-02,EURUSD,1.12952
2025-05-05,EURUSD,1.13143
2025-05-06,EURUSD,1.13715
2025-05-07,EURUSD,1.13106
2025-05-08,EURUSD,1.12261
2025-05-09,EURUSD,1.12460
2025-05-12,EURUSD,1.10880
2025-05-13,EURUSD,1.11856
2025-05-14,EURUSD,1.11749
2025-05-15,EURUSD,1.11872
2025-05-16,EURUSD,1.11640
2025-05-19,EURUSD,1.12431
2025-05-20,EURUSD,1.12822
2025-05-21,EURUSD,1.13281
2025-05-22,EURUSD,1.12791
2025-05-23,EURUSD,1.13606
2025-05-26,EURUSD,1.13848
2025-05-27,EURUSD,1.13304
2025-05-28,EURUSD,1.12925
2025-05-29,EURUSD,1.13690
2025-05-30,EURUSD,1.13450
2025-06-02,EURUSD,1.14377
2025-06-03,EURUSD,1.13750
2025-06-04,EURUSD,1.14157
2025-06-05,EURUSD,1.14416
2025-06-06,EURUSD,1.13940
2025-06-09,EURUSD,1.14200
2025-06-10,EURUSD,1.14230
2025-06-11,EURUSD,1.14870
2025-06-12,EURUSD,1.15830
2025-06-13,EURUSD,1.15520
2025-06-16,EURUSD,1.15610
2025-06-17,EURUSD,1.14790
2025-06-18,EURUSD,1.14790
2025-06-19,EURUSD,1.14940
2025-06-20,EURUSD,1.15220
2025-06-23,EURUSD,1.15760
2025-06-24,EURUSD,1.16080
2025-06-25,EURUSD,1.16590
2025-06-26,EURUSD,1.16990
2025-06-27,EURUSD,1.17190
2025-06-30,EURUSD,1.17860
2025-07-01,EURUSD,1.18050
2025-07-02,EURUSD,1.17980
2025-07-03,EURUSD,1.17560
2025-07-04,EURUSD,1.17780
2025-07-07,EURUSD,1.17070
2025-07-08,EURUSD,1.17240
2025-07-09,EURUSD,1.17190
2025-07-10,EURUSD,1.17000
2025-07-11,EURUSD,1.16890
2025-07-14,EURUSD,1.16630
2025-07-15,EURUSD,1.15990
2025-07-16,EURUSD,1.16340
2025-07-17,EURUSD,1.15950
2025-07-18,EURUSD,1.16250
2025-07-21,EURUSD,1.16950
2025-07-22,EURUSD,1.17530
2025-07-23,EURUSD,1.17700
2025-07-24,EURUSD,1.17540
2025-07-25,EURUSD,1.17400
2025-07-28,EURUSD,1.15880
2025-07-29,EURUSD,1.15450
2025-07-30,EURUSD,1.14040
2025-07-31,EURUSD,1.14150
2025-08-01,EURUSD,1.15840
2025-08-04,EURUSD,1.15700
2025-08-05,EURUSD,1.15740
2025-08-06,EURUSD,1.16590
2025-08-07,EURUSD,1.16650
2025-08-08,EURUSD,1.16390
2025-08-11,EURUSD,1.16140
2025-08-12,EURUSD,1.16730
2025-08-13,EURUSD,1.17040
2025-08-14,EURUSD,1.16460
2025-08-15,EURUSD,1.16970
2025-08-18,EURUSD,1.16600
2025-08-19,EURUSD,1.16460
2025-08-20,EURUSD,1.16510
2025-08-21,EURUSD,1.16050
2025-08-22,EURUSD,1.17150
2025-08-25,EURUSD,1.16180
2025-08-26,EURUSD,1.16420
2025-08-27,EURUSD,1.16370
2025-08-28,EURUSD,1.16820
2025-08-29,EURUSD,1.16840
2025-09-01,EURUSD,1.17090
2025-09-02,EURUSD,1.16380
2025-09-03,EURUSD,1.16610
2025-09-04,EURUSD,1.16490
2025-09-05,EURUSD,1.17170
2025-09-08,EURUSD,1.17620
2025-09-09,EURUSD,1.17060
2025-09-10,EURUSD,1.16930
2025-09-11,EURUSD,1.17330
2025-09-12,EURUSD,1.17330
2025-09-15,EURUSD,1.17600
2025-09-16,EURUSD,1.18660
2025-04-30,EURJPY,161.8952
2025-05-01,EURJPY,163.9598
2025-05-02,EURJPY,163.6878
2025-05-05,EURJPY,162.5865
2025-05-06,EURJPY,161.9484
2025-05-07,EURJPY,162.6046
2025-05-08,EURJPY,163.8
2025-05-09,EURJPY,163.4302
2025-05-12,EURJPY,164.4905
2025-05-13,EURJPY,164.935
2025-05-14,EURJPY,163.8576
2025-05-15,EURJPY,162.8767
2025-05-16,EURJPY,162.5266
2025-05-19,EURJPY,162.8608
2025-05-20,EURJPY,162.9985
2025-05-21,EURJPY,162.7259
2025-05-22,EURJPY,162.4517
2025-05-23,EURJPY,161.9454
2025-05-26,EURJPY,162.5066
2025-05-27,EURJPY,163.4557
2025-05-28,EURJPY,163.5052
2025-05-29,EURJPY,163.85
2025-05-30,EURJPY,163.3918
2025-06-02,EURJPY,163.1828
2025-06-03,EURJPY,163.7329
2025-06-04,EURJPY,162.9409
2025-06-05,EURJPY,164.187
2025-06-06,EURJPY,165.0421
2025-06-09,EURJPY,165.1104
2025-06-10,EURJPY,165.4393
2025-06-11,EURJPY,166.0331
2025-06-12,EURJPY,166.1813
2025-06-13,EURJPY,166.4528
2025-06-16,EURJPY,167.3108
2025-06-17,EURJPY,166.7325
2025-06-18,EURJPY,166.5603
2025-06-19,EURJPY,167.1802
2025-06-20,EURJPY,168.3019
2025-06-23,EURJPY,169.1717
2025-06-24,EURJPY,168.2115
2025-06-25,EURJPY,169.347
2025-06-26,EURJPY,168.8985
2025-06-27,EURJPY,169.5153
2025-06-30,EURJPY,169.7302
2025-07-01,EURJPY,169.3191
2025-07-02,EURJPY,169.5019
2025-07-03,EURJPY,170.368
2025-07-04,EURJPY,170.251
2025-07-07,EURJPY,170.9456
2025-07-08,EURJPY,171.8152
2025-07-09,EURJPY,171.4607
2025-07-10,EURJPY,171.1125
2025-07-11,EURJPY,172.2959
2025-07-14,EURJPY,172.2625
2025-07-15,EURJPY,172.6627
2025-07-16,EURJPY,172.0203
2025-07-17,EURJPY,172.3017
2025-07-18,EURJPY,172.9916
2025-07-21,EURJPY,172.3609
2025-07-22,EURJPY,172.3342
2025-07-23,EURJPY,172.4187
2025-07-24,EURJPY,172.7838
2025-07-25,EURJPY,173.3528
2025-07-28,EURJPY,172.1166
2025-07-29,EURJPY,171.374
2025-07-30,EURJPY,170.4898
2025-07-31,EURJPY,172.0697
2025-08-01,EURJPY,170.7018
2025-08-04,EURJPY,170.1716
2025-08-05,EURJPY,170.8322
2025-08-06,EURJPY,171.7954
2025-08-07,EURJPY,171.5922
2025-08-08,EURJPY,171.9313
2025-08-11,EURJPY,172.0498
2025-08-12,EURJPY,172.562
2025-08-13,EURJPY,172.4936
2025-08-14,EURJPY,172.0813
2025-08-15,EURJPY,172.1564
2025-08-18,EURJPY,172.4048
2025-08-19,EURJPY,171.9648
2025-08-20,EURJPY,171.6425
2025-08-21,EURJPY,172.1834
2025-08-22,EURJPY,172.1285
2025-08-25,EURJPY,171.6792
2025-08-26,EURJPY,171.6031
2025-08-27,EURJPY,171.5177
2025-08-28,EURJPY,171.6319
2025-08-29,EURJPY,171.7782
2025-09-01,EURJPY,172.3214
2025-09-02,EURJPY,172.6265
2025-09-03,EURJPY,172.6761
2025-09-04,EURJPY,172.9644
2025-09-05,EURJPY,172.6851
2025-09-08,EURJPY,173.5013
2025-09-09,EURJPY,172.5581
2025-09-10,EURJPY,172.425
2025-09-11,EURJPY,172.7098
2025-09-12,EURJPY,173.2495
2025-09-15,EURJPY,173.3424
